	CDC4_Hap_1	CDC4_Hap_2	CDC4_Hap_3	CDC4_Hap_4
0	X			
1				
2				
3		X		
4				
5				
6				
7				
8		X		
9				
10				
11				
12				
13		X		
14				
15		X		
16				
17				
18				
19				
20				
21				
22				
23				
24				
25				
26		X		
27				
28				
29		X		
30	X			
31		X		
32	X	X		
33		X		
34		X		
35		X		
36		X		
37				
38	X			
39				
40		X		
41				
42				
43				
44				
45				
46				
47				
48	X			
49		X		
50		X		
51		X		
52				
53				
54		X		
55		X		
56				
57				
58		X		
59		X		
60		X		
61		X		
62	X			
63		X		
64				
65		X		
66		X		
67		X		
68				
69				
70		X		
71		X		
72				
73				
74				
75				
76				
77				
78		X		
79				
80				
81				
82		X		
83		X		
84				
85		X		
86		X		
87				
88				
89				
90				
91				
92				
93				
94				
95				
96				
97		X		
