	CDC4_Hap_1	CDC4_Hap_2	CDC4_Hap_3	CDC4_Hap_4
0	1.0			
1				
2				
3		1.0		
4				
5				
6				
7				
8		1.0		
9				
10				
11				
12				
13		1.0		
14				
15		1.0		
16				
17				
18				
19				
20				
21				
22				
23				
24				
25				
26		1.0		
27				
28				
29		1.0		
30	1.0			
31		1.0		
32	1.0	1.0		
33		1.0		
34		1.0		
35		1.0		
36		1.0		
37				
38	1.0			
39				
40		1.0		
41				
42				
43				
44				
45				
46				
47				
48	1.0			
49		1.0		
50		1.0		
51		1.0		
52				
53				
54		1.0		
55		1.0		
56				
57				
58		1.0		
59		1.0		
60		1.0		
61		1.0		
62	1.0			
63		1.0		
64				
65		1.0		
66		1.0		
67		1.0		
68				
69				
70		1.0		
71		1.0		
72				
73				
74				
75				
76				
77				
78		1.0		
79				
80				
81				
82		1.0		
83		1.0		
84				
85		1.0		
86		1.0		
87				
88				
89				
90				
91				
92				
93				
94				
95				
96				
97		1.0		
